,surface,series,order_surfaces,isBasement,isFault,isActive,hasData,color,vertices,edges,sfai,id
0,gravely_layer,Strat_Series,1,False,False,True,True,#015482,"[array([[ 61.6       , -58.8       ,  69.80647354],
       [ 61.6       , -56.4       ,  70.90846405],
       [ 64.8       , -58.8       ,  69.73000717],
       ...,
       [218.4       ,  54.        ,  87.73366623],
       [218.4       ,  56.4       ,  87.815345  ],
       [218.4       ,  58.8       ,  87.95134811]])]","[array([[   2,    1,    0],
       [   3,    1,    2],
       [   3,    4,    1],
       ...,
       [3593, 3510, 3592],
       [3593, 3511, 3510],
       [3594, 3511, 3593]])]",0.38100499052841974,1
1,clay_layer,Strat_Series,2,False,False,True,True,#9f0052,"[array([[ 61.6       , -58.8       ,  48.45687943],
       [ 64.8       , -56.75979481,  49.        ],
       [ 64.8       , -58.8       ,  47.9383255 ],
       ...,
       [218.4       ,  54.        ,  66.54799576],
       [218.4       ,  56.4       ,  66.96136703],
       [218.4       ,  58.8       ,  67.45009384]])]","[array([[   2,    1,    0],
       [   0,    1,    3],
       [   4,    3,    1],
       ...,
       [3997, 3914, 3996],
       [3997, 3915, 3914],
       [3998, 3915, 3997]])]",0.31002581157666753,2
2,altered_bedrock,Strat_Series,3,False,False,True,True,#ffbe00,"[array([[ 61.6       , -58.8       ,  39.07180214],
       [ 61.6       , -56.4       ,  40.34412498],
       [ 64.8       , -58.8       ,  38.33503761],
       ...,
       [218.4       ,  54.        ,  57.63759689],
       [218.4       ,  56.4       ,  58.1431839 ],
       [218.4       ,  58.8       ,  58.72728271]])]","[array([[   2,    1,    0],
       [   3,    1,    2],
       [   3,    4,    1],
       ...,
       [4107, 4031, 4106],
       [4107, 4032, 4031],
       [4108, 4032, 4107]])]",0.28026205297070395,3
3,basement,Basement,1,True,False,True,False,#728f02,,,,4
