,X,Y,Z,X_c,Y_c,Z_c,surface,series,id,order_series,smooth
0,189.151409,3.324575673,82.019165,0.5346044853239936,0.534791876379244,0.5819723072132083,gravely_layer,Strat_Series,1,1,2e-06
1,191.287749,32.55470618,83.331177,0.5441083222567045,0.6648266058045162,0.5878089943050381,gravely_layer,Strat_Series,1,1,2e-06
2,174.4475245,51.72306568,82.413208,0.46919199453815635,0.7501,0.5837252680792109,gravely_layer,Strat_Series,1,1,2e-06
3,183.1259824,-60.67048732,68.730652,0.5077994487397333,0.2501,0.5228563141455276,gravely_layer,Strat_Series,1,1,2e-06
4,158.5441817,-2.333660267,74.293701,0.39844352909903996,0.5096203438981949,0.5476043928898662,gravely_layer,Strat_Series,1,1,2e-06
5,184.2632923,-3.635834877,77.718689,0.5128589466808651,0.5038274199481887,0.562840978568406,gravely_layer,Strat_Series,1,1,2e-06
6,179.2187692,-56.06756017,78.134912,0.4904176101212851,0.27057682908467173,0.5646926105743806,gravely_layer,Strat_Series,1,1,2e-06
7,158.931054,1.045986293,74.419373,0.40016459000366317,0.5246552212100636,0.5481634641027853,gravely_layer,Strat_Series,1,1,2e-06
8,187.5093197,-5.815331727,78.870422,0.5272993986167516,0.4941315931332823,0.5679646398873075,gravely_layer,Strat_Series,1,1,2e-06
9,204.2463095,10.47626284,88.454163,0.6017564709009599,0.5666072562480519,0.6105993851382205,gravely_layer,Strat_Series,1,1,2e-06
10,194.6140508,26.33782831,83.578796,0.5589058872024447,0.6371698688117814,0.5889105654956918,gravely_layer,Strat_Series,1,1,2e-06
11,184.9631484,42.37548038,83.227979,0.5159723641381814,0.7085158296873131,0.5873499021362907,gravely_layer,Strat_Series,1,1,2e-06
12,189.151409,3.324575673,60.019165,0.5346044853239936,0.534791876379244,0.48410192491467907,clay_layer,Strat_Series,2,1,2e-06
13,191.287749,32.55470618,58.331177,0.5441083222567045,0.6648266058045162,0.4765926507839822,clay_layer,Strat_Series,2,1,2e-06
14,174.4475245,51.72306568,67.413208,0.46919199453815635,0.7501,0.5169954619665774,clay_layer,Strat_Series,2,1,2e-06
15,158.5441817,-2.333660267,51.293701,0.39844352909903996,0.5096203438981949,0.4452853568504948,clay_layer,Strat_Series,2,1,2e-06
16,184.2632923,-3.635834877,56.718689,0.5128589466808651,0.5038274199481887,0.46941925001071905,clay_layer,Strat_Series,2,1,2e-06
17,179.2187692,-56.06756017,59.534912,0.4904176101212851,0.27057682908467173,0.481947650994715,clay_layer,Strat_Series,2,1,2e-06
18,158.931054,1.045986293,55.419373,0.40016459000366317,0.5246552212100636,0.4636390430267829,clay_layer,Strat_Series,2,1,2e-06
19,187.5093197,-5.815331727,62.370422,0.5272993986167516,0.4941315931332823,0.49456185316341056,clay_layer,Strat_Series,2,1,2e-06
20,204.2463095,10.47626284,64.454163,0.6017564709009599,0.5666072562480519,0.5038316953580069,clay_layer,Strat_Series,2,1,2e-06
21,194.6140508,26.33782831,63.578796,0.5589058872024447,0.6371698688117814,0.499937490678847,clay_layer,Strat_Series,2,1,2e-06
22,189.151409,3.324575673,54.019165,0.5346044853239936,0.534791876379244,0.45741000246962565,altered_bedrock,Strat_Series,3,1,2e-06
23,191.287749,32.55470618,51.831177,0.5441083222567045,0.6648266058045162,0.44767640146850773,altered_bedrock,Strat_Series,3,1,2e-06
24,174.4475245,51.72306568,60.413208,0.46919199453815635,0.7501,0.48585488578068176,altered_bedrock,Strat_Series,3,1,2e-06
25,183.1259824,-60.67048732,37.230652,0.5077994487397333,0.2501,0.3827237213089971,altered_bedrock,Strat_Series,3,1,2e-06
26,158.5441817,-2.333660267,41.293701,0.39844352909903996,0.5096203438981949,0.40079881944207246,altered_bedrock,Strat_Series,3,1,2e-06
27,184.2632923,-3.635834877,51.818689,0.5128589466808651,0.5038274199481887,0.4476208466805921,altered_bedrock,Strat_Series,3,1,2e-06
28,204.2463095,10.47626284,56.454163,0.6017564709009599,0.5666072562480519,0.468242465431269,altered_bedrock,Strat_Series,3,1,2e-06
29,194.6140508,26.33782831,55.578796,0.5589058872024447,0.6371698688117814,0.46434826075210917,altered_bedrock,Strat_Series,3,1,2e-06
